,Unnamed: 0,Brand,OS,RAM,ROM,Prices,Display,Processor,Warranty,Rating
329,329,ASUS,Windows 11,8,512,56250,17.3,Intel Core i5 ,1,4.3
330,330,HP,Windows 11,8,512,44990,15.6,AMD Ryzen 5 Quad Core ,1,4.4
331,331,HP,Windows 11,8,512,46990,15.6,Intel Core i3 ,1,4.2
332,332,Lenovo,Windows 11,8,512,48990,15.6,Intel Core i5 ,1,4.1
333,333,ASUS,Windows 11,16,512,59990,14,Intel Core i5 ,1,4.1
334,334,ASUS,Windows 11,16,1024,81990,17.3,AMD Ryzen 7 Octa Core ,1,4.1
335,335,HP,Windows 11,8,512,55990,15.6,Intel Core i3 ,1,4.1
336,336,DELL,Windows 11,16,1024,109655,15.6,AMD Ryzen 7 Octa Core ,1,4.8
337,337,DELL,Windows 11,8,512,75490,15.6,Intel Core i5 ,1,4.8
338,338,ASUS,Windows 10,8,1024,64990,15.6,Intel Core i5 ,1,4.5
339,339,Lenovo,Windows 11,16,512,94000,15.6,Intel Core i7 ,1,4.2
340,340,HP,Windows 11,16,512,59999,14,Intel Core i5 ,1,4.4
341,341,HP,Windows 11,8,512,49490,15.6,AMD Ryzen 5 ,1,4.4
342,342,ASUS,Windows 11,16,1024,140899,14,AMD Ryzen 9 Octa Core ,1,4.4
343,343,HP,Windows 11,16,512,65490,14,Intel Core i5 ,1,4.4
344,344,ASUS,Windows 11,16,1024,53990,16,AMD Ryzen 5 Hexa Core ,1,4.4
345,345,HP,Windows 11,16,512,73500,15.6,Intel Core i7 ,1,4.4
346,346,ASUS,Windows 11,16,1024,139990,14,AMD Ryzen 9 Octa Core ,1,4.4
347,347,HP,Windows 11,16,512,70766,15.6,AMD Ryzen 7 Octa Core ,1,4.4
348,348,HP,Windows 11,8,512,58490,14,Intel Core i3 ,1,4.3
349,349,Lenovo,Windows 11,8,512,59990,15.6,Intel Core i5 ,1,3.3
350,350,ASUS,Windows 11,16,512,68999,15.6,Intel Core i5 ,1,3.3
351,351,ASUS,Windows 11,8,512,48892,15.6,Intel Core i5 ,1,3.3
352,352,DELL,Windows 11,32,1024,237890,17.3,Intel Core i7 ,1,3.3
353,353,HP,Windows 10,4,512,50090,15.6,Intel Core i5 ,1,4.3
354,354,Lenovo,Windows 11,16,1024,132190,16,AMD Ryzen 7 Octa Core ,1,3.3
355,355,ASUS,Windows 11,16,512,59990,15.6,Intel Core i5 ,1,3.8
356,356,HP,Windows 11,16,512,94990,16.1,Intel Core i5 ,1,4.4
357,357,ASUS,Windows 11,16,512,53999,15.6,Intel Core i5 ,1,4.4
358,358,HP,Windows 11,8,512,49490,15.6,Intel Core i5 ,1,4.4
359,359,HP,Windows 11,8,512,40999,14,Intel Core i3 ,1,4.4
360,360,Lenovo,Windows 11,16,1024,132190,16,AMD Ryzen 7 Octa Core ,1,3.3
361,361,ASUS,Windows 11,16,512,59990,15.6,Intel Core i5 ,1,3.8
362,362,ASUS,Windows 11,16,512,53999,15.6,Intel Core i5 ,1,3.8
363,363,Lenovo,Windows 11,16,512,85990,15.6,AMD Ryzen 7 Octa Core ,1,4.4
364,364,Lenovo,Windows 11,8,512,56990,15.6,Intel Core i7 ,1,4.4
365,365,DELL,Windows 11,16,512,46800,14,AMD Ryzen 5 Hexa Core ,1,4.5
366,366,HP,Windows 11,8,512,48000,15.6,Intel Core i5 ,1,4.3
367,367,Lenovo,Windows 10,16,512,87000,14,Intel Core i7 ,1,4.4
368,368,HP,Windows 11,16,512,69990,15.6,Intel Core i5 ,1,4.3
369,369,HP,Windows 11,16,1024,115990,13.3,Intel Core i7 ,1,4.3
370,370,ASUS,Windows 11,16,512,66590,17.3,Intel Core i5 ,1,4.3
371,371,Apple,Mac,8,256,125990,15.3,Apple M2 ,1,4.7
372,372,HP,Windows 11,16,512,105990,15.6,Intel Core i7 ,1,4.7
373,373,Lenovo,Windows 11,8,512,44611,14,Intel Core i5 ,1,4.7
374,374,Lenovo,Windows 11,16,1024,114990,13.3,Intel Core i7 ,1,4.7
375,375,DELL,Windows 11,8,512,47599,14,AMD Ryzen 5 Hexa Core ,1,4.7
376,376,DELL,Windows 10,8,512,67899,14,Intel Core i5 ,1,4.4
377,377,DELL,Windows 11,8,512,59290,14,Intel Core i5 ,1,3.9
378,378,Apple,Mac,8,512,119900,13.6,Apple M2 ,1,4.7
379,379,HP,Windows 11,8,512,58990,14,Intel Core i5 ,1,4.2
380,380,DELL,Windows 11,16,1024,129840,15.6,Intel Core i5 ,1,4.6
